text,chunk_tags,pos_tags,ner_tags
客戶 編號 數量,NR NN NR,PROPN,1 2 3
城市 不為Oregon 成本 和 利潤,NN AD NN CC NR,PROPN,1 5 1 3 1 
單位 價格 和 成本 和 利潤,NN NN CC NN CC NR,PROPN,1 2 3 1 3 1 
是 會員 客戶 編號,VC NN NN NN,NOUN,5 1 1 2 
各 產品 的 客戶 編號,DT NN DEC NN NN,NOUN,3 1 0 1 2
Clothing 事件 的 數量,NR NN DEC NR,PROPN,5 1 0 1
Clothing 類別 的 成本 和 利潤,NR NN DEG NN CC NR,PROPN,5 6 3 1 3 1
城市 為Oregon 和 US 在 Bikes 和 Clothing 的 數量,NN CC CC NR P NR CC NR DEG NR,PROPN,1 5 3 5 0 5 3 5 0 3
單位 價格 大於 等於 500 國家 和 產品 的 成本 和 利潤,NR NR VV NR CD NN CC NR DEG NN CC NR,PROPN,1 2 3 4 5 1 3 1 0 1 3 1
的 單位 價格 和 成本 和 利潤,DEG NN NN CC NN CC NR,PROPN,0 1 2 3 1 3 1 
城市 不是 Oregon,NN AD NN,NOUN,1 3 5 
城市 不為Oregon 特徵 欄位 平均,NN JJ NN NN AD,ADV,1 5 1 2 3
單位 成本 小於 500 成本 和 利潤 平均,NN NN NN CD NN CC NN AD,ADV,1 2 5 5 1 3 1 3
單位 成本 小於 500 單位 價格 和 成本 和 利潤 平均,NN NN NN CD NN NN CC NN CC NN AD,ADV,1 2 5 5 1 2 3 1 3 1 3
Clothing 類別 平均,NR NN AD,ADV,5 1 3 
城市 為Oregon 各 布林 的 客戶 編號 平均,NN AD DT NN DEC NN NN AD,ADV,1 5 3 1 0 1 2 3
城市 不為Oregon 是 Washington 的 數量 平均,NN AD VC NR DEG NR AD,ADV,1 5 5 5 0 1 3
Washington 和 California 的 成本 和 利潤 平均,NR CC NR DEG NN CC NN AD,ADV,5 3 5 0 1 3 1 3
城市 為Oregon 各 事件 的 客戶 編號 的 特徵 欄位 平均,NN JJ DT NN DEC NN NN DEG NN NN AD,ADV,1 5 3 1 0 1 2 0 1 2 3
城市 為Oregon 各 產品 的 客戶 編號 的 成本 和 利潤 平均,NN JJ DT NN DEC NN NN DEG NN CC NN AD,ADV,1 5 3 1 0 1 2 0 1 3 1 3 
的 單位 價格 和 成本 和 利潤 平均,DEG NN NN CC NN CC NN AD,ADV,0 1 2 3 1 3 1 3
單位 價格 大於 400 平均,NN NR VV CD NN,NOUN,1 2 3 5 3 
客戶 編號 數量 前 十 名,NR NN NR DT CD M,NUM,1 2 3 5 6 6 
城市 不是 Oregon 成本 和 利潤 前 十 名,NN VC NN NN CC NR DT CD M,NUM,1 3 5 1 3 1 5 6 6 
單位 價格 和 成本 和 利潤 前 十 名,NN NN CC NN CC NR DT CD M,NUM,1 2 3 1 3 1 5 6 6 
客戶 編號 前 十 名,NN NN DT CD M,NUM,1 2 5 6 6 
城市 不為Oregon 各 類別 的 客戶 編號 前 十 名,NN AD DT NN DEC NN NN DT CD M,NUM,1 5 3 1 0 1 2 5 6 6
是 Washington 的 數量 前 十 名,VC NR DEG NR DT CD M,NUM,3 5 0 1 3 5 6 6
產品 的 成本 和 利潤 前 十 名,NR DEG NN CC NR DT CD M,NUM,1 0 1 3 1 5 6 6
各 產品 的 客戶 編號 的 數量 前 十 名,DT NN DEG NN NN DEC NR DT CD M,NUM,3 1 0 1 2 0 1 5 6 6 
城市 為Oregon 國家 和 產品 的 成本 和 利潤 前 十 名,NN JJ NN CC NR DEG NN CC NR DT CD M,NUM,1 5 1 3 1 0 1 3 1 5 6 6
是 會員 的 單位 價格 和 成本 和 利潤 前 十 名,VC NN DEG NN NN CC NN CC NR DT CD M,NUM,3 1 0 1 2 3 1 3 1 5 6 6
城市 不是 Oregon 前 十 名,NN AD NR DT CD M,NUM,1 3 5 5 6 6
特徵 欄位 平均 前 十 名,NN NN NN DT CD M,NUM,1 2 3 5 6 6 
成本 和 利潤 平均 前 十 名,NN CC NN NN DT CD M,NUM,1 3 1 3 5 6 6 
Clothing 單位 價格 和 成本 和 利潤 平均 前 十 名,NR NN NR CC NN CC NN NN DT CD M,NUM,5 1 2 3 1 3 1 3 5 6 6 
是 Washington 平均 前 十 名,VC NR NN DT CD M,NUM,3 5 3 5 6 6
各 類別 的 客戶 編號 平均 前 十 名,DT NN DEG NN NN AD DT CD M,NUM,3 1 0 1 2 3 5 6 6 
產品 的 數量 平均 前 十 名,NR DEG NR NN DT CD M,NUM,1 0 1 3 5 6 6 
布林 的 成本 和 利潤 平均 前 十 名,NN DEG NN CC NN NN DT CD M,NUM,1 0 1 3 1 3 5 6 6
城市 是 Oregon 國家 和 產品 的 特徵 欄位 平均 前 十 名,NN VC NR NN CC NR DEG NN NN NN DT CD M,NUM,1 3 5 1 3 1 0 1 2 3 5 6 6 
城市 不是 Oregon 國家 和 產品 的 成本 和 利潤 平均 前 十 名,NN VC NR NN CC NR DEG NN CC NN NN DT CD M,NUM,1 3 5 1 3 1 0 1 3 1 3 5 6 6 
城市 不是 Oregon 的 單位 價格 和 成本 和 利潤 平均 前 十 名,NN AD NN DEG NN NN CC NN CC NN NN DT CD M,NUM,1 3 5 0 1 2 3 1 3 1 3 5 6 6 
Clothing 平均 前 十 名,NR AD DT CD M,NUM,5 3 5 6 6 
特徵 欄位 比較,NN NN AD,ADV,1 2 7
Clothing 成本 和 利潤 比 較,NR NN CC NN P NR,PROPN,5 1 3 1 7 8
是 會員 單位 價格 和 成本 和 利潤 比 較,VC NN NN NN CC NN CC NN P NR,PROPN,5 1 2 2 3 1 3 1 7 8
Washington 和 California 比較,NR CC NR VV,VERB,5 3 5  7 8
單位 價格 大於 400 各 產品 的 客戶 編號 比 較,NN NR VV CD DT NN DEC NN NN P NR,PROPN,1 2 3 4 3 1 0 1 2 7 8
事件 的 特徵 欄位 比較,NN DEG NN NN AD,ADV,1 0 1 2 7
單位 成本 小於 500 類別 的 成本 和 利潤 比 較,NN NN NN CD NN DEG NN CC NN P NR,PROPN,1 2 3 5 1 0 1 3 1 7 8
各 產品 的 客戶 編號 的 特徵 欄位 比較,DT NN DEG NN NN DEG NN NN AD,ADV,3 1 0 1 2 0 1 2 7
國家 和 產品 的 成本 和 利潤 比 較,NN CC NR DEG NN CC NN P NR,PROPN,1 3 1 0 1 3 1 7 8
的 單位 價格 和 成本 和 利潤 比 較,DEG NN NN CC NN CC NN P NR,PROPN,0 1 2 3 1 3 1 7 8
城市 是 Oregon 比較,NN VC NR AD,ADV,1 3 5 7
特徵 欄位 平均 比 較,NN NN AD P NR,PROPN,1 2 3 7 8
單位 價格 大於 400 成本 和 利潤 平均 比 較,NN NR VV CD NN CC NN AD P NR,PROPN,1 2 3 5 1 3 1 3 7 8
單位 價格 和 成本 和 利潤 平均 比 較,NN NN CC NN CC NN AD P NR,PROPN,1 2 3 1 3 1 3 7 8
城市 非OregonWashington 和 California 平均 比 較,NN OD CC NR AD P NR,PROPN,1 5 3 5 3 7 8
各 事件 的 客戶 編號 平均 比 較,DT NN DEC NN NN AD P NR,PROPN,3 1 0 1 2 3 7 8
單位 成本 小於 500 類別 的 數量 平均 比 較,NN NN NN CD NN DEC NR AD P NR,PROPN,1 2 3 5 1 0 3 3 7 8
布林 的 成本 和 利潤 平均 比 較,NN DEG NN CC NN AD P NR,PROPN,1 0 1 3 1 3 7 8
US 在 Bikes 和 Clothing 的 數量 平均 比 較,NR P NR CC NR DEG NR AD P NR,PROPN,5 0 5 3 5 0 3 4 7 8
US 在 Bikes 和 Clothing 的 成本 和 利潤 平均 比 較,NR P NR CC NR DEG NN CC NN AD P NR,PROPN,5 0 5 3 5 0 1 3 1 3 7 8
城市 為Oregon 的 單位 價格 和 成本 和 利潤 平均 比 較,NN JJ DEG NN NN CC NN CC NN AD P NR,PROPN,1 5 0 1 2 3 1 3 1 3 7 8
Clothing 平均 比 較,NR AD P NR,PROPN,5 3 7 8
客戶 編號 數量 前 十 名 比較,NR NN NR DT CD M AD,ADV,1 2 3 5 6 6 7
城市 非Oregon 成本 和 利潤 前 十 名 比較,NN CC NN CC NR DT CD M AD,ADV,1 5 1 3 1 5 6 6 7
單位 價格 和 成本 和 利潤 前 十 名 比較,NN NN CC NN CC NR DT CD M AD,ADV,1 2 3 1 3 1 5 6 6 7
事件 前 十 名 比較,NN DT CD M AD,ADV,1 5 6 6 7
國家 和 產品 前 十 名 比較,NN CC NR DT CD M AD,ADV,1 3 1 5 6 6 7
是 Washington 的 特徵 欄位 前 十 名 比較,VC NR DEG NN NN DT CD M AD,ADV,3 5 0 1 2 5 6 6 7
事件 的 成本 和 利潤 前 十 名 比較,NN DEG NN CC NR DT CD M AD,ADV,1 0 1 3 1 5 6 6 7
各 事件 的 客戶 編號 的 數量 前 十 名 比較,DT NN DEG NN NN DEC NR DT CD M AD,ADV,3 1 0 1 2 0 3 5 6 6 7
國家 和 產品 的 成本 和 利潤 前 十 名 比較,NN CC NR DEG NN CC NR DT CD M AD,ADV,1 3 1 0 1 3 1 5 6 6 7
的 單位 價格 和 成本 和 利潤 前 十 名 比較,DEG NN NN CC NN CC NR DT CD M AD,ADV,0 1 2 3 1 3 1 5 6 6 7
城市 為Oregon 前 十 名 比較,NN AD DT CD M AD,ADV,1 5 6 6 6 7
特徵 欄位 平均 前 十 名 比較,NN NN NN DT CD M AD,ADV,1 2 3 5 6 6  7
成本 和 利潤 平均 前 十 名 比較,NN CC NN NN DT CD M AD,ADV,1 3 1 3 5 6 6 7
單位 成本 小於 500 單位 價格 和 成本 和 利潤 平均 前 十 名 比較,NN NN NN CD NN NN CC NN CC NN NN DT CD M AD,ADV,1 2 3 5 1 2 3 1 3 1 3 5 6 6 7
單位 成本 小於 500 客戶 編號 平均 前 十 名 比較,NN NN VV CD NN NN AD DT CD M AD,ADV,1 2 3 5 1 2 3 5 6 6 7
各 事件 的 客戶 編號 平均 前 十 名 比較,DT NN DEC NN NN AD DT CD M AD,ADV,3 1 0 1 2 3 5 6 6 7
單位 價格 大於 等於 500 類別 的 特徵 欄位 平均 前 十 名 比較,NR NR VV NR CD NN DEC NN NN NN DT CD M AD,ADV,1 2 3 4 5 1 0 1 2 3 5 6 6 7
Washington 和 California 的 成本 和 利潤 平均 前 十 名 比較,NR CC NR DEG NN CC NN NN DT CD M AD,ADV,5 3 5 0 1 3 1 3 5 6 6 7
US 在 Bikes 和 Clothing 的 特徵 欄位 平均 前 十 名 比較,NR P NR CC NR DEG NN NN NN DT CD M AD,ADV,5 0 5 3 5 0 1 2 3 5 6 6 7
單位 價格 大於 等於 500 各 產品 的 客戶 編號 的 成本 和 利潤 平均 前 十 名 比較,NR NR VV NR CD DT NN DEC NN NN DEG NN CC NN NN DT CD M AD,ADV,1 2 3 4 5 3 1 0 1 2 0 1 0 1 3 5 6 6 7
單位 價格 大於 400 的 單位 價格 和 成本 和 利潤 平均 前 十 名 比較,NN NR VV CD DEC NN NN CC NN CC NN NN DT CD M AD,ADV,1 2 3 4 5 0 1 2 3 1 3 1 3 5 6 6 7
單位 價格 大於 等於 500 平均 前 十 名 比較,NR NR VV NR CD NN DT CD M AD,ADV,1 2 3 4 5 3 5 6 6 7
城市 不是 Oregon 特徵 欄位 比例,NN AD NR NN NN NN,NOUN,1 3 5 1 2 7
成本 和 利潤 比例,NN CC NN NN,NOUN,1 3 1 7 
單位 價格 和 成本 和 利潤 比例,NN NN CC NN CC NN NN,NOUN,1 2 3 1 3 1 7 
城市 不是 Oregon 客戶 編號 比例,NN VC NR NN NN NN,NOUN,2 3 5 1 2 7
國家 和 產品 比例,NN CC NR NN,NOUN,1 3 1 7
是 Washington 的 特徵 欄位 比例,VC NR DEG NN NN NN,NOUN,3 5 0 1 2 7
單位 價格 大於 等於 500 布林 的 成本 和 利潤 比例,NR NR VV NR CD NN DEG NN CC NN NN,NOUN,1 2 3 4 5 1 0 1 3 1 7
各 事件 的 客戶 編號 的 數量 比例,DT NN DEG NN NN DEG NR NN,NOUN,3 1 0 1 2 0 1 7 
各 布林 的 客戶 編號 的 成本 和 利潤 比例,DT NN DEG NN NN DEG NN CC NN NN,NOUN,3 1 0 1 2 0 1 3 1 7 
的 單位 價格 和 成本 和 利潤 比例,DEG NN NN CC NN CC NN NN,NOUN,0 1 2 3 1 3 1 7
城市 不為Oregon 比例,NN JJ NN,NOUN,1 5 7
單位 成本 小於 500 特徵 欄位 平均 比例,NN NN NN CD NN NN JJ NN,NOUN,1 2 3 5 1 2 3 7 
成本 和 利潤 平均 比例,NN CC NN JJ NN,NOUN,1 3 1 3 7 
城市 非Oregon 單位 價格 和 成本 和 利潤 平均 比例,NN CC NN NN CC NN CC NN JJ NN,NOUN,1 5 1 2 3 1 3 1 3 7
城市 非Oregon 客戶 編號 平均 比例,NN CC NN NN JJ NN,NOUN,1 5 1 2 3 7
是 會員 各 類別 的 客戶 編號 平均 比例,VC NN DT NN DEC NN NN JJ NN,NOUN,3 1 3 1 0 1 2 3 7
是 Washington 的 特徵 欄位 平均 比例,VC NR DEG NN NN JJ NN,NOUN,1 5 0 1 2 3 7 
Washington 和 California 的 成本 和 利潤 平均 比例,NR CC NR DEG NN CC NN JJ NN,NOUN,1 3 1 0 1 3 1 3 7
城市 為Oregon 國家 和 產品 的 特徵 欄位 平均 比例,NN JJ NN CC NR DEG NN NN JJ NN,NOUN,1 5 1 3 1 0 1 2 3 7
US 在 Bikes 和 Clothing 的 成本 和 利潤 平均 比例,NR P NR CC NR DEG NN CC NN JJ NN,NOUN,5 1 5 3 5 0 1 3 1 3 7
的 單位 價格 和 成本 和 利潤 平均 比例,DEG NN NN CC NN CC NN JJ NN,NOUN,0 1 2 3 1 3 1 3 7
Clothing 平均 比例,NR JJ NN,NOUN,5 3 7
單位 價格 大於 400 特徵 欄位 前 十 名 比例,NN NR VV CD NN NN DT CD M NN,NOUN,1 2 3 5 1 2 5 6 6 7
城市 是 Oregon 成本 和 利潤 前 十 名 比例,NN VC NN NN CC NR DT CD M NN,NOUN,1 3 5 1 3 1 5 6 6 7 
單位 價格 和 成本 和 利潤 前 十 名 比例,NN NN CC NN CC NR DT CD M NN,NOUN,1 2 3 1 3 1 5 6 6 7 
單位 成本 小於 500Washington 和 California 前 十 名 比例,NN NN VV NN P NR DT CD M NN,NOUN,1 2 3 5 3 5 5 6 6 7
國家 和 產品 前 十 名 比例,NN CC NR DT CD M NN,NOUN,1 3 1 5 6 6 7
城市 非Oregon 布林 的 數量 前 十 名 比例,NN CC NN DEC NR DT CD M NN,NOUN,1 5 1 0 1 5 6 6 7
單位 成本 小於 500 是 Washington 的 成本 和 利潤 前 十 名 比例,NN NN VV CD VC NR DEG NN CC NR DT CD M NN,NOUN,1 2 3 5 3 5 0 1 3 1 5 6 6 7
城市 非OregonUS 在 Bikes 和 Clothing 的 特徵 欄位 前 十 名 比例,NN PU P NR CC NR DEG NN NN DT CD M NN,NOUN,1 5 3 5 3 5 0 1 2 5 6 6 7 
單位 成本 小於 500 各 布林 的 客戶 編號 的 成本 和 利潤 前 十 名 比例,NN NN NN CD DT NN DEC NN NN DEG NN CC NR DT CD M NN,NOUN,1 2 3 5 3 1 0 1 2 0 1 3 1 5 6 6 7
的 單位 價格 和 成本 和 利潤 前 十 名 比例,DEG NN NN CC NN CC NR DT CD M NN,NOUN,0 1 2 3 1 3 1 5 6 6 7
城市 非Oregon 前 十 名 比例,NN P DT CD M NN,NOUN,1 5 5 6 6 7 
是 會員 特徵 欄位 平均 前 十 名 比例,VC NN NN NN NN DT CD M NN,NOUN,3 1 1 2 3 5 6 6 7
成本 和 利潤 平均 前 十 名 比例,NN CC NN NN DT CD M NN,NOUN,1 3 1 3 5 6 6 7
單位 價格 和 成本 和 利潤 平均 前 十 名 比例,NN NN CC NN CC NN NN DT CD M NN,NOUN,1 2 3 1 3 1 3 5 6 6 7
客戶 編號 平均 前 十 名 比例,NN NN AD DT CD M NN,NOUN,1 2 3 5 6 6 7
US 在 Bikes 和 Clothing 平均 前 十 名 比例,NR P NR CC NR NN DT CD M NN,NOUN,5 3 5 3 5 3 5 6 6 7
ClothingWashington 和 California 的 特徵 欄位 平均 前 十 名 比例,NN CC NR DEG NN NN NN DT CD M NN,NOUN,5 3 5 0 1 2 3 5 6 6 7
是 Washington 的 成本 和 利潤 平均 前 十 名 比例,VC NR DEG NN CC NN NN DT CD M NN,NOUN,3 5 0 1 3 1 3 5 6 6 7
各 產品 的 客戶 編號 的 特徵 欄位 平均 前 十 名 比例,DT NN DEG NN NN DEG NN NN NN DT CD M NN,NOUN,3 1 0 1 2 0 1 2 3 5 6 6 7 
US 在 Bikes 和 Clothing 的 成本 和 利潤 平均 前 十 名 比例,NR P NR CC NR DEG NN CC NN NN DT CD M NN,NOUN,5 3 5 3 5 0 1 3 1 2 5 6 6 7
城市 為Oregon 的 單位 價格 和 成本 和 利潤 平均 前 十 名 比例,NN JJ DEG NN NN CC NN CC NN NN DT CD M NN,NOUN,1 5 0 1 2 3 1 3 1 3 5 6 6 7
單位 價格 大於 400 平均 前 十 名 比例,NN NR VV CD NN DT CD M NN,NOUN,1 2 3 5 3 5 6 6 7
每 週 特徵 欄位 趨勢,DT M NN NN NN,NOUN,5 6 1 2 7
這週 成本 和 利潤 趨勢,NT NN CC NN NN,NOUN,5 1 3 1 7
第二 季 單位 價格 和 成本 和 利潤 趨勢,OD M NN NN CC NN CC NN NN,NOUN,5 6 1 2 3 1 3 1 7
昨天 是 Washington 趨勢,NT VC NR NN,NOUN,5 3 5 7
2019年 1月 1日 US 在 Bikes 和 Clothing 趨勢,NT NT NT NR P NR CC NR NN,NOUN,5 6 6 5 3 5 3 5 7
2019年 1月 1日 Washington 和 California 的 數量 趨勢,NT NT NT NR CC NR DEG NR NN,NOUN,5 6 6 5 3 5 0 3 7
每 週 布林 的 成本 和 利潤 趨勢,DT M NN DEG NN CC NN NN,NOUN,5 6 1 0 1 3 1 7
今天 國家 和 產品 的 數量 趨勢,NT NN CC NR DEC NR NN,NOUN,5 1 3 1 0 1 7
城市 非Oregon 每 季 各 布林 的 客戶 編號 的 成本 和 利潤 趨勢,NN P DT NN DT NN DEG NN NN DEG NN CC NR NN,NOUN,1 5 5 6 3 1 0 1 2 0 1 3 1 7 
城市 非Oregon 第二 季 的 單位 價格 和 成本 和 利潤 趨勢,NN JJ OD M DEG NN NN CC NN CC NN NN,NOUN,1 5 5 6 0 1 2 3 1 3 1 7
第二 季 單位 成本 小於 500 趨勢,OD M NN NN NN CD NN,NOUN,5 6 1 2 3 5 7
城市 為Oregon 去年 客戶 編號 數量 平均 趨勢,NN AD NT NR NN NR JJ NN,NOUN,1 5 5 1 2 3 3 7
2019年 第四 季 成本 和 利潤 平均 趨勢,NT OD NN NN CC NN NN NN,NOUN,5 6 6 1 3 1 3 7
第四 天 單位 價格 和 成本 和 利潤 平均 趨勢,OD M NN NN CC NN CC NN NN NN,NOUN,3 5 1 2 3 1 3 1 3 7
城市 為Oregon 這兩 週客 戶編 號 平均 趨勢,NN JJ NN NN NN PU JJ NN,NOUN,1 5 0 0 0 0 3 7
單位 價格 大於 等於 500 昨天 US 在 Bikes 和 Clothing 平均 趨勢,NR NR VV NR CD NT NR P NR CC NR NN NN,NOUN,1 2 3 4 5 5 5 3 5 3 5 3 7
Clothing 每 週 產品 的 特徵 欄位 平均 趨勢,NR DT M NR DEG NN NN JJ NN,NOUN,5 3 5 1 0 1 2 3 7
去年 布林 的 成本 和 利潤 平均 趨勢,NT NN DEG NN CC NN NN NN,NOUN,5 1 0 1 3 1 3 7
城市 為Oregon 上 季國家 和 產品 的 特徵 欄位 平均 趨勢,NN AD VV VV P NR DEG NN NN JJ NN,NOUN,1 5 0 0 3 1 0 1 2 3 7 
單位 成本 小於 500 上 季US 在 Bikes 和 Clothing 的 成本 和 利潤 平均 趨勢,NN NN VV CD LC NN P NR CC NR DEG NN CC NN NN NN,NOUN,1 2 3 5 0 0 0 5 3 5 0 1 3 1 3 7
這 一 個 月 的 單位 價格 和 成本 和 利潤 平均 趨勢,DT CD M NN DEG NN NN CC NN CC NN NN NN,NOUN,5 6 6 6 0 1 2 3 1 3 1 3 7
2019年 10月 城市 為Oregon 平均 趨勢,NT NT NN AD JJ NN,NOUN,5 6 1 5 3 7
城市 為Oregon 今天 特徵 欄位 前 十 名 趨勢,NN JJ NT NN NN DT CD M NN,NOUN,3 5 5 1 2 5 6 6 7
城市 為Oregon 每年 成本 和 利潤 前 十 名 趨勢,NN AD AD NN CC NR DT CD M NN,NOUN,1 5 5 1 3 1 5 6 6 7
城市 為Oregon 第四 天 單位 價格 和 成本 和 利潤 前 十 名 趨勢,NN JJ OD M NN NN CC NN CC NR DT CD M NN,NOUN,1 5 5 6 1 2 3 1 3 1 5 6 6 7
2019年 1月 1日 是 Washington 前 十 名 趨勢,NT NT NT VC NR DT CD M NN,NOUN,5 6 6 3 5 5 6 6 7
城市 不是 Oregon 每年 國家 和 產品 前 十 名 趨勢,NN AD NR AD NN CC NR DT CD M NN,NOUN,1 3 5 6 1 3 1 5 6 6 7
城市 不為Oregon前三年 產品 的 特徵 欄位 前 十 名 趨勢,NN JJ NN DEC NN NN DT CD M NN,NOUN,1 5 5 1 0 1 3 1 5 6 6 7
城市 不為Oregon 上月 產品 的 成本 和 利潤 前 十 名 趨勢,NN AD NT NR DEG NN CC NR DT CD M NN,NOUN,1 5 5 1 0 1 3 1 5 6 6 7
過去 三月 國家 和 產品 的 特徵 欄位 前 十 名 趨勢,NR NT NN CC NR DEG NN NN DT CD M NN,NOUN,5 6 1 3 1 0 1 2 5 6 6 7 
單位 成本 小於 500 第二 季 US 在 Bikes 和 Clothing 的 成本 和 利潤 前 十 名 趨勢,NN NN NN CD OD M NR P NR CC NR DEG NN CC NR DT CD M NN,NOUN,1 2 3 5 5 6 5 3 5 3 5 0 1 3 1 5 6 6 7 
單位 價格 大於 400 過 去 三月 的 單位 價格 和 成本 和 利潤 前 十 名 趨勢,NN NR VV CD M VV NT DEC NN NN CC NN CC NR DT CD M NN,NOUN,1 2 3 5 5 6 6 0 1 2 3 1 3 1 5 6 6 7 
上週 城市 不是 Oregon 前 十 名 趨勢,NT NN AD NR DT CD M NN,NOUN,5 1 3 5 5 6 6 7 
本月 特徵 欄位 平均 前 十 名 趨勢,NT NN NN NN DT CD M NN,NOUN,5 1 2 3 5 6 6 7
