stamp,pattern,text,result,ok or not,column,comment,Operator,Others
mapping,,,,,,"{""O"":0, ""I-Column"": 1, ""B-Column"":2, ""I-Operation"":3, ""B-Operation"":4, ""I-Restriction"":5, ""B-Restriction"":6, ""I-Pattern"":7, ""B-Pattern"":8, ""I-Others"":9, ""B-Others"": 10}","{""和"": 0, ""各"":1, ""大於"": 2, ""等於"": 3, ""小於"": 4, ""不為"": 5,""不是"": 5, ""為"": 6, ""是"": 6, ""平均"": 7, ""數量"": 8}",
generic,1U + Aggr_count,客戶編號數量,bar,OK,客戶編號,1 2 2 2 3 4,,
generic,1F + 2V,城市不為Oregon成本和利潤,multi_y_bar,OK,城市 成本 利潤,1 2 3 4 5 1 2 3 1 2,0 5,
generic,3V,單位價格和成本和利潤,3hist,OK,單位價格 成本 利潤,1 2 2 2 5 1 2 3 1 2,0,
generic,1F + 1U,是會員客戶編號,table,OK,會員 客戶編號,5 1 2 1 2 2 2,,
generic,1C + 1U,各產品的客戶編號,table,OK,產品 客戶編號,3 1 2 0 1 2 2 2,1,
generic,1F + 1C + Aggr_count,Clothing事件的數量,bar,OK,事件,5 1 2 0 3 4,,
generic,1F + 1C + 2V,Clothing類別的成本和利潤,multi_y_bar,OK,成本 利潤,5 6 6 0 1 2 4 1 2,,
generic,1F + 2Cf + Aggr_count,城市為Oregon和US在Bikes和Clothing的數量,此搜尋條件並無對應資料,OK,城市,1 2 5 6 3 5 0 1 3 1 0 3 4,0,
generic,1F + 2C + 2V,單位價格大於等於500國家和產品的成本和利潤,h_bar,OK,單位價格 國家 產品 成本 利潤,1 2 2 2 3 4 3 4 5 1 2 3 1 2 0 1 2 3 1 2,2 3,
generic,3V,的單位價格和成本和利潤,3hist,OK,單位價格 成本 利潤,0 1 2 2 2 3 1 2 3 1 2,,
generic,1F,城市不是Oregon,bar,OK,城市,1 2 3 4 5,5,
generic,1F + 1V + Aggr,城市不為Oregon特徵欄位平均,bar,OK,城市 特徵欄位,1 2 3 4 5 1 2 2 2 3 4,5 7,
generic,1F + 2V + Aggr,單位成本小於500成本和利潤平均,multi_y_bar,OK,單位成本 成本 利潤,1 2 2 2 3 4 5 1 2 3 1 2 3 4,4 7,
generic,1F + 3V + Aggr,單位成本小於500單位價格和成本和利潤平均,table,OK,單位成本 單位價格 成本 利潤,1 2 2 2 3 4 5 1 2 2 2 3 1 2 3 1 2 3 4,4 7,
generic,1F + 1C + Aggr,Clothing類別平均,bar,OK,類別,3 1 2 3 4,7,
generic,1F + 1C + 1U + Aggr,城市為Oregon各布林的客戶編號平均,bar,OK,城市 布林 客戶編號,1 2 3 5 3 1 2 0 1 2 2 2 3 4,6 7,
generic,1F + 1Cf + Aggr_count + Aggr,城市不為Oregon是Washington的數量平均,bar,OK,城市,1 2 3 4 5 3 5 0 3 4 3 4,5 6 8 7,
generic,1Cf + 2V + Aggr,Washington和California的成本和利潤平均,multi_y_bar,OK,成本 利潤,5 3 5 0 1 2 3 1 2 3 4,0 7,
generic,1F + 1C + 1U + 1V + Aggr,城市為Oregon各事件的客戶編號的特徵欄位平均,multi_y_bar,OK,城市 事件 客戶編號 特徵欄位,1 2 3 5 3 1 2 0 1 2 2 2 0 1 2 2 2 3 4,1 6,
generic,1F + 1C + 1U + 2V + Aggr,城市為Oregon各產品的客戶編號的成本和利潤平均,table,OK,城市 產品 客戶編號 成本 利潤,1 2 3 5 3 1 2 0 1 2 2 2 0 1 2 3 1 2 3 4,,
generic,3V + Aggr,的單位價格和成本和利潤平均,bar,OK,單位價格 成本 利潤,0 1 2 2 2 3 1 2 3 1 2 3 4,,
generic,1F + Aggr,單位價格大於400平均,bar,OK,單位價格,1 2 2 2 3 4 5 1 2,,
generic,1U + Aggr_count + TopBtm,客戶編號數量前十名,bar,OK,客戶編號,1 2 2 2 3 4 5 6,,
generic,1F + 2V + TopBtm,城市不是Oregon成本和利潤前十名,h_bar,OK,城市 成本 利潤,1 2 3 4 5 1 2 3 1 2 5 6 6,,
generic,3V + TopBtm,單位價格和成本和利潤前十名,table,OK,單位價格 成本 利潤,1 2 2 2 3 1 2 3 1 2 5 6 6,,
generic,1U + TopBtm,客戶編號前十名,table,OK,客戶編號,1 2 2 2 5 6 6,,
generic,1F + 1C + 1U + TopBtm,城市不為Oregon各類別的客戶編號前十名,table,OK,城市 類別 客戶編號,1 2 3 4 5 3 1 2 0 1 2 2 2 5 6 6,,
generic,1Cf + Aggr_count + TopBtm,是Washington的數量前十名,h_bar,OK,,3 5 0 3 4 5 6 6,,
generic,1C + 2V + TopBtm,產品的成本和利潤前十名,h_bar,OK,產品 成本 利潤,1 2 0 1 2 3 1 2 5 6 6,,
generic,1C + 1U + Aggr_count + TopBtm,各產品的客戶編號的數量前十名,h_bar,OK,產品 客戶編號,3 1 2 0 1 2 2 2 0 3 4  5 6 6,,
generic,1F + 2C + 2V + TopBtm,城市為Oregon國家和產品的成本和利潤前十名,h_bar,OK,城市 國家 產品 成本 利潤,1 2 3 5 1 2 3 1 2 0 1 2 3 1 2 5 6 6,,
generic,1F + 3V + TopBtm,是會員的單位價格和成本和利潤前十名,table,OK,會員 單位價格 成本 利潤,3 1 2 0 1 2 2 2 3 1 2 3 1 2 5 6 6,,
generic,1F + TopBtm,城市不是Oregon前十名,h_bar,OK,城市,1 2 3 4 5 5 6 6,,
generic,1V + Aggr + TopBtm,特徵欄位平均前十名,bar,OK,特徵欄位,1 2 2 2 3 4 5 6 6,,
generic,2V + Aggr + TopBtm,成本和利潤平均前十名,multi_y_bar,OK,成本 利潤,1 2 3 1 2 3 4 5 6 6,,
generic,1F + 3V + Aggr + TopBtm,Clothing單位價格和成本和利潤平均前十名,table,OK,單位價格 成本 利潤,5 1 2 2 2 3 1 2 3 1 2 3 4 5 6 6,,
generic,1Cf + Aggr + TopBtm,是Washington平均前十名,h_bar,OK,,3 5 3 4 5 6 6,,
generic,1C + 1U + Aggr + TopBtm,各類別的客戶編號平均前十名,h_bar,OK,類別 客戶編號,3 1 2 0 1 2 2 2 3 4 5 6 6,,
generic,1C + Aggr_count + Aggr + TopBtm,產品的數量平均前十名,h_bar,OK,產品,1 2 0 3 4 3 4 5 6 6,,
generic,1C + 2V + Aggr + TopBtm,布林的成本和利潤平均前十名,multi_y_bar,OK,布林 成本 利潤,1 2 0 1 2 3 1 2 3 4 5 6 6,,
generic,1F + 2C + 1V + Aggr + TopBtm,城市是Oregon國家和產品的特徵欄位平均前十名,h_bar,OK,城市 國家 產品 特徵欄位平,1 2 3 5 1 2 3 1 2 0 1 2 2 2 3 4 5 6 6,,
generic,1F + 2C + 2V + Aggr + TopBtm,城市不是Oregon國家和產品的成本和利潤平均前十名,h_bar,OK,城市 國家 產品 成本 利潤,1 2 3 4 5 0 1 2 2 2 3 1 2 3 1 2 3 4 5 6 6,,
generic,1F + 3V + Aggr + TopBtm,城市不是Oregon的單位價格和成本和利潤平均前十名,table,OK,城市 單位價格 成本 利潤,1 2 3 4 5 0 1 2 2 2 3 1 2 3 1 2 3 4 5 6 6,,
generic,1F + Aggr + TopBtm,Clothing平均前十名,h_bar,OK,,5 3 4 5 6 6,,
comparison,1V + comparison,特徵欄位比較,hist,OK,特徵欄位,1 2 2 2 7 8,,
comparison,1F + 2V + comparison,Clothing成本和利潤比較,multi_y_bar,OK,成本 利潤,5 1 2 3 1 2 7 8,,
comparison,1F + 3V + comparison,是會員單位價格和成本和利潤比較,table,OK,會員 單位價格 成本 利潤,3 1 2 1 2 2 2 3 1 2 3 1 2 7 8,,
comparison,1Cf + comparison,Washington和California比較,bar,OK,,5 3 5 7 8,,
comparison,1F + 1C + 1U + comparison,單位價格大於400各產品的客戶編號比較,不支援,,單位價格 產品 客戶編號,1 2 2 2 3 4 5 3 1 2 0 1 2 2 2 7 8,,
comparison,1C + 1V + comparison,事件的特徵欄位比較,不支援,,事件 特徵欄位,1 2 0 1 2 7 8,,
comparison,1F + 1C + 2V + comparison,單位成本小於500類別的成本和利潤比較,不支援,,單位成本 類別 成本 利潤,1 2 2 2 3 4 5 1 2 0 1 2 3 1 2 7 8,,
comparison,1C + 1U + 1V + comparison,各產品的客戶編號的特徵欄位比較,不支援,,產品 客戶編號 特徵欄位,3 1 2 0 1 2 2 2 0 1 2 2 2 7 8,,
comparison,2C + 2V + comparison,國家和產品的成本和利潤比較,不支援,,國家 產品 成本 利潤,1 2 3 1 2 0 1 2 3 1 2 7 8,,
comparison,3V + comparison,的單位價格和成本和利潤比較,3hist,OK,單位價格 成本 利潤,0 1 2 2 2 3 1 2 3 1 2 7 8,,
comparison,1F + comparison,城市是Oregon比較,bar,OK,城市,1 2 3 5 7 8,,
comparison,1V + Aggr + comparison,特徵欄位平均比較,bar,OK,特徵欄位,1 2 2 2 3 4 7 8,,
comparison,1F + 2V + Aggr + comparison,單位價格大於400成本和利潤平均比較,multi_y_bar,OK,單位價格 成本 利潤,1 2 2 2 3 4 5 1 2 3 1 2 3 4 7 8,,
comparison,3V + Aggr + comparison,單位價格和成本和利潤平均比較,bar,OK,單位價格 成本 利潤,1 2 2 2 3 1 2 3 1 2 3 4 7 8,,
comparison,1F + 1Cf + Aggr + comparison,城市非OregonWashington和California平均比較,bar,OK,城市,1 2 3 5 6 3 5 3 4 7 8,,
comparison,1C + 1U + Aggr + comparison,各事件的客戶編號平均比較,不支援,,事件 客戶編號,3 1 2 0 1 2 2 2 3 4 7 8,,
comparison,1F + 1C + Aggr_count + Aggr + comparison,單位成本小於500類別的數量平均比較,不支援,,單位成本 類別,1 2 2 2 3 4 5 1 2 0 3 4 4 4 7 8,,
comparison,1C + 2V + Aggr + comparison,布林的成本和利潤平均比較,bar,OK,布林 成本 利潤,1 2 0 1 2 3 1 2 3 4 7 8,,
comparison,2Cf + Aggr_count + Aggr + comparison,US在Bikes和Clothing的數量平均比較,此搜尋條件並無對應資料,OK,,5 0 5 3 5 0 1 2 3 1 2 3 4 7 8,,
comparison,2Cf + 2V + Aggr + comparison,US在Bikes和Clothing的成本和利潤平均比較,此搜尋條件並無對應資料,OK,成本 利潤,5 0 5 3 5 0 1 2 3 1 2 3 4 7 8,,
comparison,1F + 3V + Aggr + comparison,城市為Oregon的單位價格和成本和利潤平均比較,table,OK,城市 單位價格 成本 利潤,1 2 3 5 0 1 2 2 2 3 1 2 3 1 2 3 4 7 8,,
comparison,1F + Aggr + comparison,Clothing平均比較,bar,OK,,5 3 4 7 8,,
comparison,1U + Aggr_count + TopBtm + comparison,客戶編號數量前十名比較,bar,OK,客戶編號,1 2 2 2 3 4 5 6 6 7 8,,
comparison,1F + 2V + TopBtm + comparison,城市非Oregon成本和利潤前十名比較,h_bar,OK,城市 成本 利潤,1 2 3 5 1 2 3 1 2 5 6 6 7 8,,
comparison,3V + TopBtm + comparison,單位價格和成本和利潤前十名比較,table,OK,單位價格 成本 利潤,1 2 2 2 3 1 2 3 1 2 5 6 6 7 8,,
comparison,1C + TopBtm + comparison,事件前十名比較,不支援,,事件,1 2 5 6 6 7 8,,
comparison,2C + TopBtm + comparison,國家和產品前十名比較,不支援,,國家 產品,1 2 3 1 2 5 6 6 7 8,,
comparison,1Cf + 1V + TopBtm + comparison,是Washington的特徵欄位前十名比較,h_bar,OK,特徵欄位,3 5 0 1 2 2 2 5 6 6 7 8,,
comparison,1C + 2V + TopBtm + comparison,事件的成本和利潤前十名比較,不支援,,事件 成本 利潤,1 2 0 1 2 3 1 2 5 6 6 7 8,,
comparison,1C + 1U + Aggr_count + TopBtm + comparison,各事件的客戶編號的數量前十名比較,不支援,,事件 客戶編號 數量,3 1 2 0 1 2 2 2 0 3 4 5 6 6 7 8,,
comparison,2C + 2V + TopBtm + comparison,國家和產品的成本和利潤前十名比較,不支援,,國家 產品 成本 利潤,1 2 3 1 2 0 1 2 3 1 2 5 6 6 7 8,,
comparison,3V + TopBtm + comparison,的單位價格和成本和利潤前十名比較,table,OK,單位價格 成本 利潤,0 1 2 2 2 3 1 2 3 1 2 5 6 6 7 8,,
comparison,1F + TopBtm + comparison,城市為Oregon前十名比較,h_bar,OK,城市,1 2 3 5 6 6 6 7 8,,
comparison,1V + Aggr + TopBtm + comparison,特徵欄位平均前十名比較,bar,OK,特徵欄位,1 2 2 2 3 4 5 6 6 7 8,,
comparison,2V + Aggr + TopBtm + comparison,成本和利潤平均前十名比較,multi_y_bar,OK,成本 利潤,1 2 3 1 2 3 4 5 6 6 7 8,,
comparison,1F + 3V + Aggr + TopBtm + comparison,單位成本小於500單位價格和成本和利潤平均前十名比較,table,OK,單位成本 單位價格 成本 利潤,1 2 2 2 3 4 5 1 2 2 2 3 1 2 3 1 2 3 4 5 6 6 7 8,,
comparison,1F + 1U + Aggr + TopBtm + comparison,單位成本小於500客戶編號平均前十名比較,h_bar,OK,單位成本 客戶編號,1 2 2 2 3 4 5 1 2 2 2 3 4 5 6 6 7 8,,
comparison,1C + 1U + Aggr + TopBtm + comparison,各事件的客戶編號平均前十名比較,不支援,,事件 客戶編號,3 1 2 0 1 2 2 2 3 4 5 6 6 7 8,,
comparison,1F + 1C + 1V + Aggr + TopBtm + comparison,單位價格大於等於500類別的特徵欄位平均前十名比較,不支援,,單位價格 類別 特徵欄位,1 2 2 2 3 4 3 4 5 1 2 0 1 2 2 2 3 4 5 6 6 7 8,,
comparison,1Cf + 2V + Aggr + TopBtm + comparison,Washington和California的成本和利潤平均前十名比較,h_bar,OK,成本 利潤,5 3 5 0 1 2 3 1 2 3 4 5 6 6 7 8,,
comparison,2Cf + 1V + Aggr + TopBtm + comparison,US在Bikes和Clothing的特徵欄位平均前十名比較,此搜尋條件並無對應資料,OK,特徵欄位,5 0 5 3 5 0 1 2 2 2 3 4 3 5 6 6 7 8,,
comparison,1F + 1C + 1U + 2V + Aggr + TopBtm + comparison,單位價格大於等於500各產品的客戶編號的成本和利潤平均前十名比較,不支援,,,1 2 2 2 3 4 3 4 5 ,,
comparison,1F + 3V + Aggr + TopBtm + comparison,單位價格大於400的單位價格和成本和利潤平均前十名比較,table,OK,單位價格 單位價格 成本 利潤,1 2 2 2 3 4 5 0 1 2 2 2 3 1 2 3 1 2 3 4 5 6 6 7 8,,
comparison,1F + Aggr + TopBtm + comparison,單位價格大於等於500平均前十名比較,h_bar,OK,單位價格,1 2 2 2 3 4 4 4 5 3 4 5 6 6 7 8,,
proportion,1F + 1V + proportion,城市不是Oregon特徵欄位比例,pie,OK,城市 特徵欄位,1 2 3 4 5 1 2 2 2 7 8,,
proportion,2V + proportion,成本和利潤比例,不支援,,成本 利潤,1 2 3 1 2 7 8,,
proportion,3V + proportion,單位價格和成本和利潤比例,不支援,,單位價格 成本 利潤,1 2 2 2 3 1 2 3 1 2 7 8,,
proportion,1F + 1U + proportion,城市不是Oregon客戶編號比例,table,OK,城市 客戶編號,1 2 3 4 5 1 2 2 2 7 8,,
proportion,2C + proportion,國家和產品比例,不支援,,國家 產品,1 2 3 1 2 7 8,,
proportion,1Cf + 1V + proportion,是Washington的特徵欄位比例,pie,OK,特徵欄位,3 5 0 1 2 2 2 7 8,,
proportion,1F + 1C + 2V + proportion,單位價格大於等於500布林的成本和利潤比例,pie,OK,單位價格 布林 成本 利潤,1 2 2 2 3 4 4 4 5 1 2 0 1 2 3 1 2 7 8,,
proportion,1C + 1U + Aggr_count + proportion,各事件的客戶編號的數量比例,table,OK,事件 客戶編號,3 1 2 0 1 2 2 2 0 3 4 7 8,,
proportion,1C + 1U + 2V + proportion,各布林的客戶編號的成本和利潤比例,不支援,,布林 客戶編號 成本 利潤,3 1 2 0 1 2 2 2 0 1 2 3 1 2 7 8,,
proportion,3V + proportion,的單位價格和成本和利潤比例,不支援,,單位價格 成本 利潤,0 1 2 2 2 3 1 2 3 1 2 7 8,,
proportion,1F + proportion,城市不為Oregon比例,pie,OK,城市,1 2 3 4 5 7 8,,
proportion,1F + 1V + Aggr + proportion,單位成本小於500特徵欄位平均比例,不支援,,單位成本 特徵欄位,1 2 2 2 3 4 5 1 2 2 2 3 4 7 8 ,,
proportion,2V + Aggr + proportion,成本和利潤平均比例,不支援,,成本 利潤,1 2 3 1 2 3 4 7 8 ,,
proportion,1F + 3V + Aggr + proportion,城市非Oregon單位價格和成本和利潤平均比例,不支援,,城市 單位價格 成本 利潤,1 2 3 5 1 2 2 2 3 1 2 3 1 2 3 4 7 8 ,,
proportion,1F + 1U + Aggr + proportion,城市非Oregon客戶編號平均比例,不支援,,城市 客戶編號,1 2 3 5 1 2 2 2 3 4 7 8 ,,
proportion,1F + 1C + 1U + Aggr + proportion,是會員各類別的客戶編號平均比例,不支援,,會員 類別 客戶編號,3 1 2 5 1 2 0 1 2 2 2 3 4 7 8,,
proportion,1Cf + 1V + Aggr + proportion,是Washington的特徵欄位平均比例,不支援,,特徵欄位,5 6,,
proportion,1Cf + 2V + Aggr + proportion,Washington和California的成本和利潤平均比例,不支援,,,,,
proportion,1F + 2C + 1V + Aggr + proportion,城市為Oregon國家和產品的特徵欄位平均比例,不支援,,,,,
proportion,2Cf + 2V + Aggr + proportion,US在Bikes和Clothing的成本和利潤平均比例,不支援,,,,,
proportion,3V + Aggr + proportion,的單位價格和成本和利潤平均比例,不支援,,,,,
proportion,1F + Aggr + proportion,Clothing平均比例,不支援,,,,,
proportion,1F + 1V + TopBtm + proportion,單位價格大於400特徵欄位前十名比例,不支援,,,,,
proportion,1F + 2V + TopBtm + proportion,城市是Oregon成本和利潤前十名比例,不支援,,,,,
proportion,3V + TopBtm + proportion,單位價格和成本和利潤前十名比例,不支援,,,,,
proportion,1F + 1Cf + TopBtm + proportion,單位成本小於500Washington和California前十名比例,不支援,,,,,
proportion,2C + TopBtm + proportion,國家和產品前十名比例,不支援,,,,,
proportion,1F + 1C + Aggr_count + TopBtm + proportion,城市非Oregon布林的數量前十名比例,不支援,,,,,
proportion,1F + 1Cf + 2V + TopBtm + proportion,單位成本小於500是Washington的成本和利潤前十名比例,不支援,,,,,
proportion,1F + 2Cf + 1V + TopBtm + proportion,城市非OregonUS在Bikes和Clothing的特徵欄位前十名比例,不支援,,,,,
proportion,1F + 1C + 1U + 2V + TopBtm + proportion,單位成本小於500各布林的客戶編號的成本和利潤前十名比例,不支援,,,,,
proportion,3V + TopBtm + proportion,的單位價格和成本和利潤前十名比例,不支援,,,,,
proportion,1F + TopBtm + proportion,城市非Oregon前十名比例,不支援,,,,,
proportion,1F + 1V + Aggr + TopBtm + proportion,是會員特徵欄位平均前十名比例,不支援,,,,,
proportion,2V + Aggr + TopBtm + proportion,成本和利潤平均前十名比例,不支援,,,,,
proportion,3V + Aggr + TopBtm + proportion,單位價格和成本和利潤平均前十名比例,不支援,,,,,
proportion,1U + Aggr + TopBtm + proportion,客戶編號平均前十名比例,不支援,,,,,
proportion,2Cf + Aggr + TopBtm + proportion,US在Bikes和Clothing平均前十名比例,不支援,,,,,
proportion,1F + 1Cf + 1V + Aggr + TopBtm + proportion,ClothingWashington和California的特徵欄位平均前十名比例,不支援,,,,,
proportion,1Cf + 2V + Aggr + TopBtm + proportion,是Washington的成本和利潤平均前十名比例,不支援,,,,,
proportion,1C + 1U + 1V + Aggr + TopBtm + proportion,各產品的客戶編號的特徵欄位平均前十名比例,不支援,,,,,
proportion,2Cf + 2V + Aggr + TopBtm + proportion,US在Bikes和Clothing的成本和利潤平均前十名比例,不支援,,,,,
proportion,1F + 3V + Aggr + TopBtm + proportion,城市為Oregon的單位價格和成本和利潤平均前十名比例,不支援,,,,,
proportion,1F + Aggr + TopBtm + proportion,單位價格大於400平均前十名比例,不支援,,,,,
trend,TS + 1V + trend,每週特徵欄位趨勢,line,OK,,,,
trend,1Ft_now + 2V + trend,這週成本和利潤趨勢,不支援,,,,,
trend,1Ft_the_n + 3V + trend,第二季單位價格和成本和利潤趨勢,不支援,,,,,
trend,1Ft_pref + 1Cf + trend,昨天是Washington趨勢,不支援,,,,,
trend,1Ft + 2Cf + trend,2019年1月1日US在Bikes和Clothing趨勢,此搜尋條件並無對應資料,OK,,,,
trend,1Ft + 1Cf + Aggr_count + trend,2019年1月1日Washington和California的數量趨勢,line,OK,,,,
trend,TS + 1C + 2V + trend,每週布林的成本和利潤趨勢,line,OK,,,,
trend,1Ft_now + 2C + Aggr_count + trend,今天國家和產品的數量趨勢,不支援,,,,,
trend,1F + TS + 1C + 1U + 2V + trend,城市非Oregon每季各布林的客戶編號的成本和利潤趨勢,table,OK,,,,
trend,1F + 1Ft_the_n + 3V + trend,城市非Oregon第二季的單位價格和成本和利潤趨勢,不支援,,,,,
trend,1Ft_the_n + 1F + trend,第二季單位成本小於500趨勢,不支援,,,,,
trend,1F + 1Ft_pref + 1U + Aggr_count + Aggr + trend,城市為Oregon去年客戶編號數量平均趨勢,line,OK,,,,
trend,1Ft + 2V + Aggr + trend,2019年第四季成本和利潤平均趨勢,line,OK,,,,
trend,1Ft_the_n + 3V + Aggr + trend,第四天單位價格和成本和利潤平均趨勢,不支援,,,,,
trend,1F + 1Ft_the_n + 1U + Aggr + trend,城市為Oregon這兩週客戶編號平均趨勢,不支援,,,,,
trend,1F + 1Ft_pref + 2Cf + Aggr + trend,單位價格大於等於500昨天US在Bikes和Clothing平均趨勢,不支援,,,,,
trend,1F + TS + 1C + 1V + Aggr + trend,Clothing每週產品的特徵欄位平均趨勢,line,OK,,,,
