stamp,pattern,text,result,ok or not,column,comment,Operator,Others
trend,1Ft_pref + 1C + 2V + Aggr + trend,去年布林的成本和利潤平均趨勢,line,OK,,,,
trend,1F + 1Ft_pref + 2C + 1V + Aggr + trend,城市為Oregon上季國家和產品的特徵欄位平均趨勢,不支援,,,,,
trend,1F + 1Ft_pref + 2Cf + 2V + Aggr + trend,單位成本小於500上季US在Bikes和Clothing的成本和利潤平均趨勢,不支援,,,,,
trend,1Ft_the_n + 3V + Aggr + trend,這一個月的單位價格和成本和利潤平均趨勢,不支援,,,,,
trend,1Ft + 1F + Aggr + trend,2019年10月城市為Oregon平均趨勢,line,OK,,,,
trend,1F + 1Ft_now + 1V + TopBtm + trend,城市為Oregon今天特徵欄位前十名趨勢,不支援,,,,,
trend,1F + TS + 2V + TopBtm + trend,城市為Oregon每年成本和利潤前十名趨勢,table,OK,,,,
trend,1F + 1Ft_the_n + 3V + TopBtm + trend,城市為Oregon第四天單位價格和成本和利潤前十名趨勢,不支援,,,,,
trend,1Ft + 1Cf + TopBtm + trend,2019年1月1日是Washington前十名趨勢,table,OK,,,,
trend,1F + TS + 2C + TopBtm + trend,城市不是Oregon每年國家和產品前十名趨勢,table,OK,,,,
trend,1F + 1Ft_pref_n + 1C + 1V + TopBtm + trend,城市不為Oregon前三年產品的特徵欄位前十名趨勢,table,OK,,,,
trend,1F + 1Ft_pref + 1C + 2V + TopBtm + trend,城市不為Oregon上月產品的成本和利潤前十名趨勢,不支援,,,,,
trend,1Ft_pref_n + 2C + 1V + TopBtm + trend,過去三月國家和產品的特徵欄位前十名趨勢,不支援,,,,,
trend,1F + 1Ft_the_n + 2Cf + 2V + TopBtm + trend,單位成本小於500第二季US在Bikes和Clothing的成本和利潤前十名趨勢,不支援,,,,,
trend,1F + 1Ft_pref_n + 3V + TopBtm + trend,單位價格大於400過去三月的單位價格和成本和利潤前十名趨勢,不支援,,,,,
trend,1Ft_pref + 1F + TopBtm + trend,上週城市不是Oregon前十名趨勢,不支援,,,,,
trend,1Ft_now + 1V + Aggr + TopBtm + trend,本月特徵欄位平均前十名趨勢,不支援,,,,,
trend,1Ft_now + 2V + Aggr + TopBtm + trend,當季成本和利潤平均前十名趨勢,不支援,,,,,
trend,1F + 1Ft_the_n + 3V + Aggr + TopBtm + trend,城市非Oregon第四天單位價格和成本和利潤平均前十名趨勢,不支援,,,,,
trend,TS + 1C + Aggr + TopBtm + trend,每季事件平均前十名趨勢,table,OK,,,,
trend,1Ft + 2Cf + Aggr + TopBtm + trend,2019年第四季US在Bikes和Clothing平均前十名趨勢,此搜尋條件並無對應資料,OK,,,,
trend,1Ft_pref_n + 1C + Aggr_count + Aggr + TopBtm + trend,前一週布林的數量平均前十名趨勢,不支援,,,,,
trend,1Ft_now + 1C + 2V + Aggr + TopBtm + trend,今天產品的成本和利潤平均前十名趨勢,不支援,,,,,
trend,TS + 1C + 1U + Aggr_count + Aggr + TopBtm + trend,每週各布林的客戶編號的數量平均前十名趨勢,table,OK,,,,
trend,1Ft_now + 2Cf + 2V + Aggr + TopBtm + trend,這週US在Bikes和Clothing的成本和利潤平均前十名趨勢,不支援,,,,,
trend,1F + 1Ft_the_n + 3V + Aggr + TopBtm + trend,單位成本小於500第二季的單位價格和成本和利潤平均前十名趨勢,不支援,,,,,
trend,1Ft_pref + 1F + Aggr + TopBtm + trend,上季單位價格大於400平均前十名趨勢,不支援,,,,,
trend,1F + 1T,城市不是Oregon日期,line,OK,,,,
trend,1Cft,2019年1月和2月,沒有任何相關資料,OK,,,,
trend,1F + 1T + 1U + Aggr_count,單位價格大於400日期客戶編號數量,line,OK,,,,
trend,1F + 1Cft + 1U + Aggr_count,單位價格大於400 2019年和2019年客戶編號數量,line,OK,,,,
trend,1F + 1T + 2V,城市非Oregon日期成本和利潤,line,OK,,,,
trend,1F + 1Cft + 2V,單位價格大於400 2019年1月跟2019年2月成本和利潤,line,OK,,,,
trend,1F,城市非Oregon,bar,OK,,,,
trend,1T + Aggr,日期平均,line,OK,,,,
trend,1Cft + Aggr,2019年至2019年平均,沒有任何相關資料,OK,,,,
trend,1F + 1T + 1V + Aggr,是會員日期特徵欄位平均,line,OK,,,,
trend,1Cft + 1U + Aggr_count + Aggr,2019年至2019年客戶編號數量平均,line,OK,,,,
trend,1F + 1T + 2V + Aggr,單位成本小於500日期成本和利潤平均,line,OK,,,,
trend,1Cft + 2V + Aggr,2019年1月跟2019年2月成本和利潤平均,line,OK,,,,
trend,1F + Aggr,城市不是Oregon平均,bar,OK,,,,
trend,1F + 1T + TopBtm,是會員日期前十名,table,OK,,,,
trend,1Cft + TopBtm,2019年1月跟2019年2月前十名,沒有任何相關資料,OK,,,,
trend,1F + 1T + 1V + TopBtm,城市不為Oregon日期特徵欄位前十名,table,OK,,,,
trend,1Cft + 1U + Aggr_count + TopBtm,2019年和2019年客戶編號數量前十名,h_bar,OK,,,,
trend,1T + 2V + TopBtm,日期成本和利潤前十名,table,OK,,,,
trend,1Cft + 2V + TopBtm,2019年至2019年成本和利潤前十名,table,OK,,,,
trend,1F + TopBtm,城市為Oregon前十名,h_bar,OK,,,,
trend,1F + 1T + Aggr + TopBtm,城市不是Oregon日期平均前十名,table,OK,,,,
trend,1F + 1Cft + Aggr + TopBtm,Clothing2019年至2019年平均前十名,table,OK,,,,
trend,1T + 1V + Aggr + TopBtm,日期特徵欄位平均前十名,table,OK,,,,
trend,1Cft + 1U + Aggr_count + Aggr + TopBtm,2019年1月和2月客戶編號數量平均前十名,h_bar,OK,,,,
trend,1F + 1T + 2V + Aggr + TopBtm,城市為Oregon日期成本和利潤平均前十名,table,OK,,,,
trend,1Cft + 2V + Aggr + TopBtm,2019年至2019年成本和利潤平均前十名,table,OK,,,,
trend,1F + Aggr + TopBtm,城市非Oregon平均前十名,h_bar,OK,,,,
trend_comparison,1Ft_now + 1V + comparison,今年特徵欄位比較,不支援,,,,,
trend_comparison,1F + 1Ft_now + 2V + comparison,城市為Oregon今年成本和利潤比較,不支援,,,,,
trend_comparison,1F + 1Ft_the_n + 3V + comparison,城市為Oregon第四天單位價格和成本和利潤比較,不支援,,,,,
trend_comparison,1F + 1Ft_pref + 1C + comparison,是會員昨天布林比較,不支援,,,,,
trend_comparison,1F + 1Ft_now + 2Cf + comparison,城市為Oregon今天US在Bikes和Clothing比較,不支援,,,,,
trend_comparison,1F + 1Ft + 1Cf + Aggr_count + comparison,單位價格大於4002019年10月是Washington的數量比較,不支援,,,,,
trend_comparison,1F + TS + 1C + 2V + comparison,是會員每年布林的成本和利潤比較,不支援,,,,,
trend_comparison,1F + 1Ft_pref_n + 2C + 1V + comparison,Clothing上兩季國家和產品的特徵欄位比較,不支援,,,,,
trend_comparison,1F + 1Ft_the_n + 1C + 1U + 2V + comparison,城市為Oregon這一個月各事件的客戶編號的成本和利潤比較,不支援,,,,,
trend_comparison,1Ft_now + 3V + comparison,這週的單位價格和成本和利潤比較,不支援,,,,,
trend_comparison,TS + 1F + comparison,每日城市為Oregon比較,line,OK,,,,
trend_comparison,1Ft_now + 1U + Aggr_count + Aggr + comparison,今天客戶編號數量平均比較,不支援,,,,,
trend_comparison,1Ft_now + 2V + Aggr + comparison,當季成本和利潤平均比較,不支援,,,,,
trend_comparison,TS + 3V + Aggr + comparison,每年單位價格和成本和利潤平均比較,line,OK,,,,
trend_comparison,1F + 1Ft_pref_n + 1Cf + Aggr + comparison,Clothing過去三月是Washington平均比較,不支援,,,,,
trend_comparison,1F + TS + 2Cf + Aggr + comparison,城市不為Oregon每日US在Bikes和Clothing平均比較,不支援,,,,,
trend_comparison,1F + 1Ft_now + 1C + 1V + Aggr + comparison,單位價格大於等於500今天布林的特徵欄位平均比較,不支援,,,,,
trend_comparison,1F + 1Ft_the_n + 1C + 2V + Aggr + comparison,單位成本小於500這兩週類別的成本和利潤平均比較,不支援,,,,,
trend_comparison,1Ft_pref + 1C + 1U + 1V + Aggr + comparison,上週各事件的客戶編號的特徵欄位平均比較,不支援,,,,,
trend_comparison,1Ft_pref_n + 1C + 1U + 2V + Aggr + comparison,上兩季各產品的客戶編號的成本和利潤平均比較,不支援,,,,,
trend_comparison,1F + 1Ft_pref + 3V + Aggr + comparison,城市非Oregon上季的單位價格和成本和利潤平均比較,不支援,,,,,
trend_comparison,1Ft_pref + 1F + Aggr + comparison,去年Clothing平均比較,line,OK,,,,
trend_comparison,1F + 1Ft_the_n + 1U + Aggr_count + TopBtm + comparison,城市非Oregon第四天客戶編號數量前十名比較,不支援,,,,,
trend_comparison,1F + 1Ft_now + 2V + TopBtm + comparison,城市為Oregon這週成本和利潤前十名比較,不支援,,,,,
trend_comparison,1Ft_pref + 3V + TopBtm + comparison,昨天單位價格和成本和利潤前十名比較,不支援,,,,,
trend_comparison,1Ft_pref + 1U + TopBtm + comparison,去年客戶編號前十名比較,table,OK,,,,
trend_comparison,1Ft_pref + 2Cf + TopBtm + comparison,去年US在Bikes和Clothing前十名比較,此搜尋條件並無對應資料,OK,,,,
trend_comparison,1Ft_pref_n + 1C + Aggr_count + TopBtm + comparison,前三年產品的數量前十名比較,不支援,,,,,
trend_comparison,1F + 1Ft_pref_n + 1Cf + 2V + TopBtm + comparison,單位成本小於500上兩季Washington和California的成本和利潤前十名比較,table,OK,,,,
trend_comparison,1F + TS + 2C + 1V + TopBtm + comparison,城市是Oregon每日國家和產品的特徵欄位前十名比較,不支援,,,,,
trend_comparison,1F + 1Ft + 2C + 2V + TopBtm + comparison,城市為Oregon2019年1月1日國家和產品的成本和利潤前十名比較,不支援,,,,,
trend_comparison,1Ft_now + 3V + TopBtm + comparison,當季的單位價格和成本和利潤前十名比較,不支援,,,,,
trend_comparison,1Ft_pref + 1F + TopBtm + comparison,上季城市為Oregon前十名比較,不支援,,,,,
trend_comparison,1F + 1Ft + 1U + Aggr_count + Aggr + TopBtm + comparison,單位價格大於4002019年1月1日客戶編號數量平均前十名比較,不支援,,,,,
trend_comparison,1Ft + 2V + Aggr + TopBtm + comparison,2019年10月成本和利潤平均前十名比較,table,OK,,,,
trend_comparison,1Ft + 3V + Aggr + TopBtm + comparison,2019年第四季單位價格和成本和利潤平均前十名比較,table,OK,,,,
trend_comparison,1Ft + 1Cf + Aggr + TopBtm + comparison,2019年第四季Washington和California平均前十名比較,table,OK,,,,
trend_comparison,1Ft_the_n + 2C + Aggr + TopBtm + comparison,這一個月國家和產品平均前十名比較,不支援,,,,,
trend_comparison,1Ft_now + 1Cf + Aggr_count + Aggr + TopBtm + comparison,今年是Washington的數量平均前十名比較,不支援,,,,,
trend_comparison,1F + 1Ft_now + 1C + 2V + Aggr + TopBtm + comparison,城市為Oregon今天布林的成本和利潤平均前十名比較,不支援,,,,,
trend_comparison,1F + TS + 2Cf + 1V + Aggr + TopBtm + comparison,是會員每季US在Bikes和Clothing的特徵欄位平均前十名比較,不支援,,,,,
trend_comparison,1F + TS + 1C + 1U + 2V + Aggr + TopBtm + comparison,是會員每週各類別的客戶編號的成本和利潤平均前十名比較,不支援,,,,,
trend_comparison,TS + 3V + Aggr + TopBtm + comparison,每月的單位價格和成本和利潤平均前十名比較,table,OK,,,,
trend_comparison,1Ft + 1F + Aggr + TopBtm + comparison,2019年1月1日城市非Oregon平均前十名比較,table,OK,,,,
trend_proportion,1Ft_now + 1U + Aggr_count + proportion,本月客戶編號數量比例,不支援,,,,,
trend_proportion,1Ft_pref + 2V + proportion,昨天成本和利潤比例,不支援,,,,,
trend_proportion,1F + 1Ft_pref + 3V + proportion,城市不是Oregon上週單位價格和成本和利潤比例,不支援,,,,,
trend_proportion,1Ft_the_n + 1C + proportion,第二季產品比例,不支援,,,,,
trend_proportion,1F + 1Ft_pref + 2Cf + proportion,城市不是Oregon上季US在Bikes和Clothing比例,不支援,,,,,
trend_proportion,1F + 1Ft_now + 1Cf + Aggr_count + proportion,城市不是Oregon今天Washington和California的數量比例,不支援,,,,,
trend_proportion,1F + 1Ft_pref_n + 1Cf + 2V + proportion,城市為Oregon前四天Washington和California的成本和利潤比例,不支援,,,,,
trend_proportion,1F + 1Ft_now + 2Cf + 1V + proportion,Clothing本月US在Bikes和Clothing的特徵欄位比例,不支援,,,,,
trend_proportion,1Ft_the_n + 2C + 2V + proportion,這一個月國家和產品的成本和利潤比例,不支援,,,,,
trend_proportion,1F + 1Ft_pref_n + 3V + proportion,單位成本小於500上兩季的單位價格和成本和利潤比例,pie,OK,,,,
trend_proportion,1Ft_now + 1F + proportion,今天Clothing比例,不支援,,,,,
trend_proportion,1F + 1Ft_now + 1U + Aggr_count + Aggr + proportion,城市為Oregon本月客戶編號數量平均比例,不支援,,,,,
trend_proportion,1F + 1Ft + 2V + Aggr + proportion,單位成本小於5002019年10月成本和利潤平均比例,不支援,,,,,
trend_proportion,1Ft_the_n + 3V + Aggr + proportion,這一個月單位價格和成本和利潤平均比例,不支援,,,,,
trend_proportion,1F + 1Ft_now + 1C + Aggr + proportion,單位價格大於等於500今年產品平均比例,不支援,,,,,
trend_proportion,1F + 1Ft_pref + 2C + Aggr + proportion,城市為Oregon去年國家和產品平均比例,不支援,,,,,
trend_proportion,1Ft_pref_n + 1C + 1V + Aggr + proportion,上兩季布林的特徵欄位平均比例,不支援,,,,,
trend_proportion,1Ft_pref + 1C + 2V + Aggr + proportion,上週布林的成本和利潤平均比例,不支援,,,,,
trend_proportion,TS + 2Cf + Aggr_count + Aggr + proportion,每月US在Bikes和Clothing的數量平均比例,不支援,,,,,
trend_proportion,1F + 1Ft_now + 2Cf + 2V + Aggr + proportion,城市是Oregon今年US在Bikes和Clothing的成本和利潤平均比例,不支援,,,,,
trend_proportion,1F + 1Ft_pref_n + 3V + Aggr + proportion,Clothing上兩季的單位價格和成本和利潤平均比例,不支援,,,,,
trend_proportion,1Ft_pref + 1F + Aggr + proportion,上季城市不為Oregon平均比例,不支援,,,,,
trend_proportion,1F + 1Ft + 1U + Aggr_count + TopBtm + proportion,是會員2019年10月客戶編號數量前十名比例,不支援,,,,,
trend_proportion,1F + 1Ft_the_n + 2V + TopBtm + proportion,城市非Oregon第四天成本和利潤前十名比例,不支援,,,,,
trend_proportion,1Ft_pref + 3V + TopBtm + proportion,昨天單位價格和成本和利潤前十名比例,不支援,,,,,
trend_proportion,1Ft + 1U + TopBtm + proportion,2019年1月1日客戶編號前十名比例,不支援,,,,,
trend_proportion,1Ft_pref_n + 1C + 1U + TopBtm + proportion,前三年各類別的客戶編號前十名比例,不支援,,,,,
trend_proportion,1Ft_now + 1Cf + 1V + TopBtm + proportion,這週是Washington的特徵欄位前十名比例,不支援,,,,,
trend_proportion,1F + 1Ft + 1C + 2V + TopBtm + proportion,城市為Oregon2019年第四季類別的成本和利潤前十名比例,不支援,,,,,
trend_proportion,1F + 1Ft + 2C + 1V + TopBtm + proportion,城市是Oregon2019年第四季國家和產品的特徵欄位前十名比例,不支援,,,,,
trend_proportion,1Ft_now + 2Cf + 2V + TopBtm + proportion,今天US在Bikes和Clothing的成本和利潤前十名比例,不支援,,,,,
trend_proportion,1Ft_pref + 3V + TopBtm + proportion,上週的單位價格和成本和利潤前十名比例,不支援,,,,,
trend_proportion,1Ft_now + 1F + TopBtm + proportion,本月城市為Oregon前十名比例,不支援,,,,,
trend_proportion,1F + TS + 1U + Aggr_count + Aggr + TopBtm + proportion,城市不是Oregon每週客戶編號數量平均前十名比例,不支援,,,,,
trend_proportion,1F + 1Ft_pref + 2V + Aggr + TopBtm + proportion,城市不為Oregon昨天成本和利潤平均前十名比例,不支援,,,,,
trend_proportion,1Ft_the_n + 3V + Aggr + TopBtm + proportion,第二季單位價格和成本和利潤平均前十名比例,不支援,,,,,
trend_proportion,1Ft_pref_n + 1C + Aggr + TopBtm + proportion,前三年布林平均前十名比例,不支援,,,,,
trend_proportion,1F + 1Ft_the_n + 2C + Aggr + TopBtm + proportion,單位成本小於500第二季國家和產品平均前十名比例,不支援,,,,,
trend_proportion,1Ft_the_n + 1C + Aggr_count + Aggr + TopBtm + proportion,這一個月類別的數量平均前十名比例,不支援,,,,,
trend_proportion,1Ft + 1Cf + 2V + Aggr + TopBtm + proportion,2019年1月1日是Washington的成本和利潤平均前十名比例,不支援,,,,,
trend_proportion,TS + 2C + Aggr_count + Aggr + TopBtm + proportion,每月國家和產品的數量平均前十名比例,不支援,,,,,
trend_proportion,1F + TS + 1C + 1U + 2V + Aggr + TopBtm + proportion,城市為Oregon每週各產品的客戶編號的成本和利潤平均前十名比例,不支援,,,,,
trend_proportion,1Ft_pref_n + 3V + Aggr + TopBtm + proportion,過去三月的單位價格和成本和利潤平均前十名比例,不支援,,,,,
trend_proportion,1Ft_the_n + 1F + Aggr + TopBtm + proportion,第四天城市為Oregon平均前十名比例,不支援,,,,,
演算法,relation_explore_numeric,甚麼與成本有關,ok,OK,,9 10 3 1 2 7 8,,
演算法,relation_explore_numeric,US甚麼與單位價格有關,ok,OK,,,,
演算法,relation_explore_numeric,2019年甚麼與單位價格有關,ok,OK,,,,
演算法,relation_explore_numeric,2019年甚麼與單位價格有關,ok,OK,,,,
演算法,relation_explore_numeric,甚麼與成本有關,ok,OK,,,,
演算法,relation_explore_numeric,性別為M甚麼與單位價格有關,ok,OK,性別 單位價格,1 2 3 5 9 10 3 1 2 2 2 7 8,,
演算法,relation_explore_numeric,2019年甚麼與成本有關,ok,OK,,,,
演算法,relation_explore_category,甚麼與產品有關,ok,OK,,,,
演算法,relation_explore_category,利潤大於500甚麼與類別有關,ok,OK,,,,
演算法,relation_explore_category,2019年甚麼與產品有關,ok,OK,,,,
演算法,relation_explore_category,甚麼與國家有關,ok,OK,,,,
演算法,relation_explore_category,US甚麼與城市有關,ok,OK,,,,
演算法,relation_explore_category,2019年甚麼與類別有關,ok,OK,,,,
演算法,relation_explore_category,甚麼與類別有關,ok,OK,,,,
演算法,relation_explore_category,性別為M甚麼與類別有關,ok,OK,,,,
演算法,relation_explore_category,2019年甚麼與類別有關,ok,OK,,,,
演算法,relation_explore_category,甚麼與產品有關,ok,OK,,,,
演算法,relation_explore_category,US甚麼與產品有關,ok,OK,,,,
演算法,relation_explore_category,2019年5月甚麼與類別有關,ok,OK,,,,
演算法,relation_explore_category,甚麼與國家有關,ok,OK,,,,
演算法,relation_explore_category,US甚麼與國家有關,ok,OK,,,,
演算法,2n correlation,成本和利潤的關係,ok,OK,,,,
演算法,2n correlation,US成本和單價的關係,ok,OK,,,,
演算法,2c correlation,類別和產品的關係,ok,OK,,,,
演算法,2c correlation,類別和國家的關係,ok,OK,,,,
演算法,2c correlation,產品和類別的關係,ok,OK,,,,
演算法,different_explore,France和其他有什麼差異,ok,OK,,,,
演算法,different_explore,性別為MHelmets和其他有什麼差異,NO,NO,,,,
演算法,different_explore,2019年10月Helmets和其他有甚麼差異,OK,OK,,,,
演算法,trend_forecast,US每周成本的預測,OK,OK,,,,
演算法,trend_forecast,每季單位價格的預測,OK,OK,,,,
演算法,trend_forecast,利潤大於500每周單位價格的預測,OK,OK,,,,
演算法,root_cause_analysis,Washington的2019年10月單位價格的根因分析,OK,OK,,,,
演算法,root_cause_analysis,Clothing的2019年成本的根因分析,OK,OK,,,,
演算法,root_cause_analysis,Clothing爲甚麼2019年的成本下降,OK,OK,,,,
演算法,root_cause_analysis,爲甚麼2019年的成本下降,OK,OK,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,總共,328,,,,
,,,不支援,156,,,,
,,,OK,171,,,,差異分析前面不可以加datavalue的filter
,,,不OK,1,,,,